"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"RELTD","Ravindra Energy Limited","7(2)","Shantanu Lath","Director","Equity Shares","50000","0.03",,"70000","7000000","Buy","Equity Shares","120000","0.07","29-Apr-2026","29-Apr-2026","02-May-2026","ESOP","-","-","0","0","0","0","NA","-","02-May-2026 16:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197873_1662973_02052026044642_WEB.xml"
"MWL","Mangalam Worldwide Limited","7(2)","VIPIN PRAKASH MANGAL","Promoters","Equity Shares","6042800","20.35",,"2212300","682347220","Pledge","Equity Shares","1530500","5.15","28-Apr-2026","29-Apr-2026","30-Apr-2026","Pledge Creation","-","-","0","0","0","0","NSE","-","02-May-2026 14:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197871_1662943_02052026022032_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Dr. Lal PathLabs Employees Welfare Trust","Other","Equity Shares","577246","0.34",,"82750","94434300","Buy","Equity Shares","659996","0.39","30-Apr-2026","30-Apr-2026","01-May-2026","ESOP","-","-","0","0","0","0","NA","-","01-May-2026 16:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197868_1662824_01052026041558_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","Bajaj Auto Holdings Limited","Promoter Group","Equity Shares","2090050","0.13",,"2090050","3700779428","Sell","Equity Shares","Nil","0","27-Apr-2026","27-Apr-2026","29-Apr-2026","Market Sale","-","-","0","0","0","0","BSE","-","30-Apr-2026 22:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197866_1662688_30042026102612_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","Bajaj Holdings & Investment Limited","Promoters","Equity Shares","612742140","38.28",,"2090050","3700224520","Buy","Equity Shares","614832190","38.41","27-Apr-2026","27-Apr-2026","29-Apr-2026","Market Purchase","-","-","0","0","0","0","BSE","-","30-Apr-2026 22:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197866_1662688_30042026102612_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Vama Sundari Investments (Delhi) Private Limited","Promoters","Equity Shares","1199665350","44.21",,"101056","122655032","Buy","Equity Shares","1199766406","44.21","24-Apr-2026","24-Apr-2026","28-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","30-Apr-2026 19:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197864_1662516_30042026072326_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Vama Sundari Investments (Delhi) Private Limited","Promoters","Equity Shares","1199766406","44.21",,"183673","220277165","Buy","Equity Shares","1199950079","44.22","28-Apr-2026","29-Apr-2026","30-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","30-Apr-2026 19:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197864_1662516_30042026072326_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Siki Giunta","-","Equity Shares","Nil","0",,"4204","5315538","Buy","Equity Shares","4204","0","24-Apr-2026","24-Apr-2026","28-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 18:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197862_1662394_30042026063149_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Raghavan Kidambi","-","Equity Shares","Nil","0",,"3651","4616324","Buy","Equity Shares","3651","0","24-Apr-2026","24-Apr-2026","28-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 18:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197862_1662394_30042026063149_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Jill Ann Kouri","-","Equity Shares","4149","0",,"62540","79075576","Buy","Equity Shares","66689","0","24-Apr-2026","24-Apr-2026","28-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 18:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197862_1662394_30042026063149_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","7897468","0.29",,"70395","89007438","Sell","Equity Shares","7827073","0.29","24-Apr-2026","24-Apr-2026","28-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 18:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197862_1662394_30042026063149_WEB.xml"
"RESPONIND","Responsive Industries Limited","7(2)","Fairpoint Tradecom LLP","Promoter Group","Equity Shares","24650000","9.25",,"300000","47520000","Pledge Revoke","Equity Shares","24650000","9.25","24-Apr-2026","24-Apr-2026","29-Apr-2026","Revokation of Pledge","-","-","0","0","0","0","NA","-","30-Apr-2026 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197858_1662307_30042026055528_WEB.xml"
"SANGAMIND","Sangam (India) Limited","7(2)","Sangam (India) Limited Employees Welfare Trust","Other","Equity Shares","936543","1.86",,"2250","647213","Sell","Equity Shares","934293","1.86","27-Apr-2026","27-Apr-2026","29-Apr-2026","ESOP","-","-","0","0","0","0","NSE","-","30-Apr-2026 15:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197855_1662038_30042026035329_WEB.xml"
"SAIFL","Sameera Agro And Infra Limited","7(2)","Satya Murthy Sivalenka","Promoters","Equity Shares","34299000","57.59",,"1648000","14008000","Sell","Equity Shares","32651000","54.83","29-Apr-2026","29-Apr-2026","30-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","30-Apr-2026 15:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197853_1662020_30042026034241_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","1976617","2.1",,"3913","538722","Sell","Equity Shares","1972704","2.09","28-Apr-2026","28-Apr-2026","29-Apr-2026","Off Market","-","-","0","0","0","0","NA","-","30-Apr-2026 14:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197851_1661892_30042026020546_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","2003197","2.12",,"26580","9282157","Sell","Equity Shares","1976617","2.1","28-Apr-2026","28-Apr-2026","29-Apr-2026","Off Market","-","-","0","0","0","0","NA","-","30-Apr-2026 14:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197851_1661892_30042026020546_WEB.xml"
"PARIN","Parin Enterprises Limited","7(2)","P.P. FURNITURE  PRIVATE LIMITED","Promoter Group","Equity Shares","1323250","11.9",,"11250","6993788","Sell","Equity Shares","1312000","11.8","27-Apr-2026","27-Apr-2026","29-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","30-Apr-2026 13:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197849_1661884_30042026014913_WEB.xml"
"PARIN","Parin Enterprises Limited","7(2)","P.P. FURNITURE  PRIVATE LIMITED","Promoter Group","Equity Shares","1312000","11.8",,"4750","2951033","Sell","Equity Shares","1307250","11.76","28-Apr-2026","28-Apr-2026","30-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","30-Apr-2026 13:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197849_1661884_30042026014913_WEB.xml"
