Company Name,Security Code,Security Name,Ex Date,Record Date,BC Start,BC End,ND Start,ND End,Actual Payment,Purpose
Cholamandalam Financial Holdings Ltd,504973,CHOLAHLDNG,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 1.3000
Grasim Industries Ltd,500300,GRASIM,07 Aug 2026,07 Aug 2026,,,,,,Dividend - Rs. - 10.0000
Ipca Laboratories Ltd,524494,IPCALAB,07 Aug 2026,07 Aug 2026,,,,,,Dividend - Rs. - 6.0000
Jasch Gauging Technologies Ltd,544112,JGTL,07 Aug 2026,07 Aug 2026,,,,,,Interim Dividend
Lodha Developers Ltd,543287,LODHA,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 4.2500
Maruti Suzuki India Ltd,532500,MARUTI,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 140.0000
PI Industries Ltd,523642,PIIND,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 10.0000
Rubicon Research Ltd,544578,RUBICON,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Sagility Ltd,544282,SAGILITY,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 0.1000
Sharda Cropchem Ltd,538666,SHARDACROP,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 9.0000
Shri Dinesh Mills Ltd-$,503804,SHRIDINE,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Steelcast Ltd,513517,STEELCAS,07 Aug 2026,07 Aug 2026,,,,,,Interim Dividend
Tube Investments of India Ltd,540762,TIINDIA,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
United Breweries Ltd-$,532478,UBL,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 10.0000
Varroc Engineering Ltd,541578,VARROC,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Venus Remedies Ltd,526953,VENUSREM,07 Aug 2026,07 Aug 2026,,,,,,Final Dividend - Rs. - 10.0000
AVT Natural Products Ltd,519105,AVTNPL,10 Aug 2026,10 Aug 2026,,,,,,Final Dividend - Rs. - 0.4500
Majestic Auto Ltd-$,500267,MAJESAUT,10 Aug 2026,10 Aug 2026,,,,,,Final Dividend - Rs. - 25.0000
West Coast Paper Mills Ltd,500444,WSTCSTPAPR,10 Aug 2026,10 Aug 2026,,,,,,Final Dividend - Rs. - 3.0000
Dhunseri Ventures Ltd-$,523736,DVL,11 Aug 2026,11 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Gland Pharma Ltd,543245,GLAND,11 Aug 2026,11 Aug 2026,,,,,,Final Dividend - Rs. - 20.0000
Kirloskar Industries Ltd,500243,KIRLOSIND,11 Aug 2026,11 Aug 2026,,,,,,Final Dividend - Rs. - 13.0000
Kopran Ltd,524280,KOPRAN,11 Aug 2026,11 Aug 2026,,,,,,Final Dividend - Rs. - 3.0000
Ratnamani Metals & Tubes Ltd-$,520111,RATNAMANI,11 Aug 2026,11 Aug 2026,,,,,,Final Dividend - Rs. - 10.0000
Standard Industries Ltd,530017,SIL,11 Aug 2026,11 Aug 2026,,,,,,Final Dividend - Rs. - 0.2500
Computer Age Management Services Ltd,543232,CAMS,12 Aug 2026,12 Aug 2026,,,,,,Interim Dividend
Dhunseri Tea & Industries Ltd,538902,DTIL,12 Aug 2026,12 Aug 2026,,,,,,Final Dividend - Rs. - 2.0000
Gujarat Containers Ltd,513507,GUJCONT,12 Aug 2026,12 Aug 2026,,,,,,Dividend - Rs. - 1.5000
H.G. Infra Engineering Ltd,541019,HGINFRA,12 Aug 2026,12 Aug 2026,,,,,,Final Dividend - Rs. - 2.0000
Industrial & Prudential Investment Company Ltd,501298,INDPRUD,12 Aug 2026,12 Aug 2026,,,,,,Final Dividend - Rs. - 120.0000
KCP Ltd,590066,KCP,12 Aug 2026,12 Aug 2026,,,,,,Interim Dividend
Neelamalai Agro Industries Ltd,508670,NEAGI,12 Aug 2026,12 Aug 2026,,,,,,Final Dividend - Rs. - 20.0000
Sandur Manganese & Iron Ores Ltd,504918,SANDUMA,12 Aug 2026,12 Aug 2026,,,,,,Final Dividend - Rs. - 0.5000
Narmada Gelatines Ltd,526739,SHAWGELTIN,12 Aug 2026,12 Aug 2026,,,,,,Final Dividend - Rs. - 11.0000
Century Enka Ltd,500280,CENTENKA,13 Aug 2026,13 Aug 2026,,,,,,Dividend - Rs. - 11.0000
Dhunseri Investments Ltd,533336,DHUNINV,13 Aug 2026,13 Aug 2026,,,,,,Final Dividend - Rs. - 3.0000
Godrej Consumer Products Ltd,532424,GODREJCP,13 Aug 2026,13 Aug 2026,,,,,,Interim Dividend
Metal Coatings India Ltd,531810,METALCO,13 Aug 2026,13 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
The Ramco Cements Ltd,500260,RAMCOCEM,13 Aug 2026,13 Aug 2026,,,,,,Dividend - Rs. - 2.5000
Ramco Industries Ltd,532369,RAMCOIND,13 Aug 2026,13 Aug 2026,,,,,,Final Dividend - Rs. - 1.2500
South Indian Bank Ltd,532218,SOUTHBANK,13 Aug 2026,13 Aug 2026,,,,,,Final Dividend - Rs. - 0.4500
Tirupati Foam Ltd,540904,TIRUFOAM,13 Aug 2026,13 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
Usha Martin Ltd,517146,USHAMART,13 Aug 2026,13 Aug 2026,,,,,,Final Dividend - Rs. - 3.7500
Alkali Metals Ltd,533029,ALKALI,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
Apollo Hospitals Enterprise Ltd,508869,APOLLOHOSP,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 10.0000
Crest Ventures Ltd,511413,CREST,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
Federal Bank Ltd,500469,FEDERALBNK,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 1.2000
Godawari Power and Ispat Ltd,532734,GPIL,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
Hindustan Aeronautics Ltd,541154,HAL,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 10.0000
Hindustan Petroleum Corporation Ltd,500104,HINDPETRO,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 19.2500
Mangalam Cement Ltd,502157,MANGLMCEM,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Minda Corporation Ltd,538962,MINDACORP,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 0.8000
NCC Ltd,500294,NCC,14 Aug 2026,14 Aug 2026,,,,,,Dividend - Rs. - 2.2000
Xchanging Solutions Ltd,532616,XCHANGING,14 Aug 2026,14 Aug 2026,,,,,,Final Dividend - Rs. - 2.0000
Hisar Metal Industries Ltd-$,590018,HISARMETAL,17 Aug 2026,17 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
Panama Petrochem Ltd,524820,PANAMAPET,17 Aug 2026,17 Aug 2026,,,,,,Dividend - Rs. - 3.0000
Bombay Oxygen Investments Ltd,509470,BOMOXY-B1,18 Aug 2026,18 Aug 2026,,,,,,Final Dividend - Rs. - 25.0000
Elixir Capital Ltd,531278,ELIXIR,18 Aug 2026,18 Aug 2026,,,,,,Final Dividend - Rs. - 1.2500
India Gelatine & Chemicals Ltd-$,531253,INDGELA,18 Aug 2026,18 Aug 2026,,,,,,Final Dividend - Rs. - 6.0000
Jay Bharat Maruti Ltd,520066,JAYBARMARU,18 Aug 2026,18 Aug 2026,,,,,,Final Dividend - Rs. - 0.7000
NGL Fine Chem Ltd,524774,NGLFINE,18 Aug 2026,18 Aug 2026,,,,,,Final Dividend - Rs. - 1.7500
Rossell India Ltd,533168,ROSSELLIND,18 Aug 2026,18 Aug 2026,,,,,,Dividend - Rs. - 0.4000
Foseco Crucible (India) Ltd,523160,FOSECOC,19 Aug 2026,19 Aug 2026,,,,,,Final Dividend - Rs. - 12.5000
Honda India Power Products Ltd,522064,HONDAPOWER,19 Aug 2026,19 Aug 2026,,,,,,Final Dividend - Rs. - 23.0000
Kovai Medical Center & Hospital Ltd,523323,KOVAI,19 Aug 2026,19 Aug 2026,,,,,,Final Dividend - Rs. - 15.0000
LG Balakrishnan & Bros Ltd,500250,LGBBROSLTD,19 Aug 2026,19 Aug 2026,,,,,,Final Dividend - Rs. - 22.0000
Page Industries Ltd,532827,PAGEIND,19 Aug 2026,19 Aug 2026,,,,,,Interim Dividend
Amarjothi Spinning Mills Ltd,521097,AMARJOTHI,20 Aug 2026,20 Aug 2026,,,,,,Final Dividend - Rs. - 2.2000
Dai-Ichi Karkaria Ltd-$,526821,DAICHI,20 Aug 2026,20 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Kuantum Papers Ltd,532937,KUANTUM,20 Aug 2026,20 Aug 2026,,,,,,Final Dividend - Rs. - 2.5000
Marksans Pharma Ltd,524404,MARKSANS,20 Aug 2026,20 Aug 2026,,,,,,Final Dividend - Rs. - 0.9000
Sukhjit Starch & Chemicals Ltd-$,524542,SUKHJITS,20 Aug 2026,20 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
AK Capital Services Ltd,530499,AKCAPIT,21 Aug 2026,21 Aug 2026,,,,,,Final Dividend - Rs. - 22.0000
GE Vernova T&D India Ltd,522275,GVT&D,21 Aug 2026,21 Aug 2026,,,,,,Dividend - Rs. - 10.0000
KSE Ltd-$,519421,KSE,21 Aug 2026,21 Aug 2026,,,,,,Final Dividend - Rs. - 7.5000
LIC Housing Finance Ltd,500253,LICHSGFIN,21 Aug 2026,21 Aug 2026,,,,,,Final Dividend - Rs. - 10.0000
Hitachi Energy India Ltd,543187,POWERINDIA,21 Aug 2026,21 Aug 2026,,,,,,Final Dividend - Rs. - 8.0000
ZEN Technologies Ltd,533339,ZENTEC,21 Aug 2026,21 Aug 2026,,,,,,Final Dividend - Rs. - 1.0000
Gillette India Ltd,507815,GILLETTE,24 Aug 2026,24 Aug 2026,,,,,,Final Dividend - Rs. - 60.0000
India Pesticides Ltd,543311,IPL,24 Aug 2026,24 Aug 2026,,,,,,Dividend - Rs. - 0.7500
Diffusion Engineers Ltd,544264,DIFFNKG,25 Aug 2026,26 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Procter & Gamble Hygiene and Health Care Ltd,500459,PGHH,25 Aug 2026,26 Aug 2026,,,,,,Final Dividend - Rs. - 60.0000
Suraksha Diagnostic Ltd,544293,SURAKSHA,25 Aug 2026,26 Aug 2026,,,,,,Final Dividend - Rs. - 0.5000
Manaksia Coated Metals & Industries Ltd,539046,MANAKCOAT,27 Aug 2026,27 Aug 2026,,,,,,Final Dividend - Rs. - 0.0500
Procter & Gamble Health Ltd,500126,PGHL,27 Aug 2026,27 Aug 2026,,,,,,Final Dividend - Rs. - 45.0000
Thomas Cook (India) Ltd,500413,THOMASCOOK,27 Aug 2026,27 Aug 2026,,,,,,Final Dividend - Rs. - 0.5000
Dynamatic Technologies Ltd-$,505242,DYNAMATECH,28 Aug 2026,28 Aug 2026,,,,,,Final Dividend - Rs. - 5.0000
Salzer Electronics Ltd-$,517059,SALZERELEC,28 Aug 2026,28 Aug 2026,,,,,,Dividend - Rs. - 2.5000
Swan Corp Ltd,503310,SWANCORP,28 Aug 2026,28 Aug 2026,,,,,,Final Dividend - Rs. - 0.1500
Ganesh Housing Ltd-$,526367,GANESHHOU,31 Aug 2026,31 Aug 2026,,,,,,Final Dividend - Rs. - 1.5000
Ion Exchange India Ltd-$,500214,IONEXCHANG,31 Aug 2026,31 Aug 2026,,,,,,Dividend - Rs. - 1.2500
Triveni Engineering & Industries Ltd,532356,TRIVENI,31 Aug 2026,31 Aug 2026,,,,,,Final Dividend - Rs. - 1.2500
